A_or_B,trial,block_num,trial_type,corr_resp,corr_resp_left,image_name,trial_dur,new_block
null,162,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,163,8,1,0,0,stimuli/1.jpg,0.5,0
null,164,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,165,8,1,1,4,stimuli/1.jpg,0.5,0
null,166,8,fix,1,4,stimuli/fix.jpg,2.5,0
null,167,8,1,0,0,stimuli/4.jpg,0.5,0
null,168,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,169,8,1,0,0,stimuli/5.jpg,0.5,0
null,170,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,171,8,1,0,0,stimuli/2.jpg,0.5,0
null,172,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,173,8,1,0,0,stimuli/7.jpg,0.5,0
null,174,8,fix,0,0,stimuli/fix.jpg,2.5,0
null,175,8,1,1,4,stimuli/7.jpg,0.5,0
null,176,8,fix,1,4,stimuli/fix.jpg,17,0
null,177,9,0,nan,nan,stimuli/0back_instr.jpg,3,1
